experiment,condition,effectiveness
1,no_graph,7
1,graph,6
1,no_graph,9
1,no_graph,4
1,graph,6
1,no_graph,7
1,graph,7
1,no_graph,7
1,no_graph,7
1,graph,6
1,graph,6
1,no_graph,7
1,graph,7
1,graph,8
1,no_graph,7
1,graph,6
1,graph,9
1,graph,8
1,no_graph,8
1,no_graph,4
1,graph,6
1,graph,7
1,graph,4
1,graph,6
1,graph,5
1,graph,7
1,no_graph,7
1,graph,7
1,no_graph,6
1,no_graph,7
1,graph,7
1,no_graph,8
1,graph,6
1,no_graph,5
1,graph,7
1,no_graph,6
1,graph,8
1,graph,9
1,graph,5
1,no_graph,6
1,graph,5
1,graph,7
1,graph,9
1,no_graph,6
1,graph,7
1,no_graph,7
1,no_graph,8
1,no_graph,7
1,graph,7
1,no_graph,7
1,no_graph,7
1,graph,7
1,no_graph,6
1,no_graph,9
1,no_graph,9
1,graph,5
1,graph,5
1,no_graph,7
1,graph,7
1,graph,6
1,no_graph,6
1,no_graph,6
1,graph,1
1,graph,4
1,no_graph,8
1,graph,7
1,no_graph,5
1,graph,8
1,graph,6
1,no_graph,6
1,no_graph,7
1,graph,7
1,no_graph,9
1,no_graph,7
1,no_graph,6
1,no_graph,3
1,no_graph,7
1,graph,8
1,no_graph,5
1,no_graph,6
1,graph,4
1,graph,7
1,graph,5
1,no_graph,6
1,graph,8
1,graph,5
1,no_graph,7
1,no_graph,5
1,no_graph,7
1,no_graph,9
1,graph,8
1,no_graph,7
1,graph,9
1,no_graph,5
1,no_graph,9
1,graph,7
1,no_graph,7
1,graph,7
1,graph,8
1,graph,7
1,graph,6
1,graph,5
1,no_graph,9
1,no_graph,8
1,no_graph,6
1,no_graph,7
1,no_graph,9
1,graph,6
1,graph,6
1,no_graph,7
1,graph,8
1,no_graph,8
1,graph,9
1,no_graph,4
1,no_graph,7
1,graph,7
1,graph,6
1,no_graph,7
1,no_graph,8
1,no_graph,7
1,no_graph,4
1,graph,7
1,graph,7
2,graph,6
2,graph,6
2,graph,6
2,graph,7
2,no_graph,3
2,no_graph,6
2,no_graph,7
2,no_graph,4
2,graph,6
2,no_graph,7
2,no_graph,8
2,no_graph,5
2,no_graph,7
2,graph,9
2,graph,7
2,no_graph,4
2,graph,3
2,no_graph,7
2,no_graph,7
2,graph,5
2,no_graph,5
2,graph,7
2,graph,9
2,graph,7
2,no_graph,4
2,graph,5
2,graph,3
2,graph,7
2,no_graph,7
2,no_graph,9
2,no_graph,7
2,no_graph,7
2,no_graph,4
2,graph,3
2,graph,7
2,no_graph,8
2,no_graph,7
2,graph,7
2,graph,6
2,graph,7
2,graph,6
2,graph,6
2,no_graph,8
2,graph,6
2,no_graph,7
2,graph,8
2,graph,7
2,no_graph,8
2,no_graph,8
2,graph,7
2,no_graph,8
2,no_graph,7
2,graph,8
2,graph,5
2,no_graph,7
2,graph,3
2,graph,7
2,graph,7
2,no_graph,9
2,graph,4
2,graph,8
2,graph,4
2,no_graph,7
2,graph,7
2,graph,7
2,graph,7
2,no_graph,7
2,no_graph,8
2,graph,8
2,no_graph,8
2,graph,7
2,no_graph,8
2,no_graph,7
2,graph,5
2,no_graph,4
2,no_graph,7
2,graph,7
2,no_graph,7
2,graph,8
2,no_graph,6
2,no_graph,1
2,no_graph,8
2,no_graph,8
2,graph,7
2,graph,7
2,graph,5
2,no_graph,5
2,no_graph,7
2,no_graph,7
2,no_graph,7
2,graph,7
2,graph,3
2,no_graph,6
2,graph,7
2,no_graph,4
2,graph,3
2,no_graph,6
2,graph,5
2,no_graph,7
2,graph,9
2,graph,2
2,no_graph,6
2,no_graph,8
2,no_graph,6
2,no_graph,6
2,graph,5
2,no_graph,6
2,graph,6
2,no_graph,3
2,graph,5
2,graph,7
2,graph,6
2,no_graph,5
2,graph,7
2,graph,1
2,no_graph,8
2,graph,8
2,graph,6
2,graph,8
2,graph,6
2,graph,9
2,graph,9
2,no_graph,7
2,graph,9
2,graph,6
2,no_graph,6
2,graph,5
2,graph,7
2,graph,8
2,graph,7
2,graph,6
2,no_graph,6
2,graph,6
2,no_graph,8
2,no_graph,7
2,graph,7
2,graph,5
2,no_graph,7
2,graph,9
2,no_graph,5
