"participant","vis","rdirection","sign","visandsign","rbase","approach","jnd","condition"
"hrp9vbr9","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.6,"above",0.145,"parallelCoordinatespositive-0.6-above"
"hrp9vbr9","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.6,"below",0.206666667,"parallelCoordinatespositive-0.6-below"
"hrp9vbr9","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.3,"below",0.138333333,"parallelCoordinatespositive-0.3-below"
"hrp9vbr9","parallelCoordinates","positive",1,"parallelCoordinatespositive",0.3,"above",0.4,"parallelCoordinatespositive-0.3-above"
"hs1u042j","line","positive",1,"linepositive",0.8,"below",0.076666667,"linepositive-0.8-below"
"hs1u042j","line","positive",1,"linepositive",0.5,"below",0.365,"linepositive-0.5-below"
"hs1u042j","line","positive",1,"linepositive",0.5,"above",0.151666667,"linepositive-0.5-above"
"hs1u042j","line","positive",1,"linepositive",0.8,"above",0.055,"linepositive-0.8-above"
"hscd70ru","line","negative",-1,"linenegative",0.7,"above",0.2825,"linenegative-0.7-above"
"hscd70ru","line","negative",-1,"linenegative",0.4,"below",0.621666667,"linenegative-0.4-below"
"hscd70ru","line","negative",-1,"linenegative",0.4,"above",0.39,"linenegative-0.4-above"
"hscd70ru","line","negative",-1,"linenegative",0.7,"below",0.456666667,"linenegative-0.7-below"
"hsb8f1gg","scatterplot","negative",-1,"scatterplotnegative",0.7,"below",0.065,"scatterplotnegative-0.7-below"
"hsb8f1gg","scatterplot","negative",-1,"scatterplotnegative",0.5,"above",0.068333333,"scatterplotnegative-0.5-above"
"hsb8f1gg","scatterplot","negative",-1,"scatterplotnegative",0.7,"above",0.073333333,"scatterplotnegative-0.7-above"
"hsb8f1gg","scatterplot","negative",-1,"scatterplotnegative",0.5,"below",0.093333333,"scatterplotnegative-0.5-below"
"hs2i5cwl","line","positive",1,"linepositive",0.6,"below",0.136666667,"linepositive-0.6-below"
"hs2i5cwl","line","positive",1,"linepositive",0.6,"above",0.165,"linepositive-0.6-above"
"hs2i5cwl","line","positive",1,"linepositive",0.3,"above",0.216666667,"linepositive-0.3-above"
"hs2i5cwl","line","positive",1,"linepositive",0.3,"below",0.46,"linepositive-0.3-below"
