"uuid","page_id","page_condition","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed"
"0010d921-1f71-4511-834a-55096185fabb","2-1",0,28152,26435,1717,145,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",8.337,329.109135615661
"0010d921-1f71-4511-834a-55096185fabb","1-2",1,60796,43012,17784,383,1,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",10.485,534.269506184321
"0010d921-1f71-4511-834a-55096185fabb","3-1",0,40283,22518,17765,106,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",11.081,282.44071409539
"0010d921-1f71-4511-834a-55096185fabb","1-1",0,64213,62798,1415,324,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",9.6,309.563998853467
"0010d921-1f71-4511-834a-55096185fabb","3-2",1,23086,10022,13064,120,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",10.697,718.419477150269
"0010d921-1f71-4511-834a-55096185fabb","2-2",1,26912,23811,3101,166,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",7.638,418.294065767922
"001d6664-0e5d-401b-bfd9-c2985739e2ca","1-1",0,102356,40362,61994,324,1,880,35,"smartphone",0,"college",1,"English",0,0,"Y",9.6,481.641147614092
"001d6664-0e5d-401b-bfd9-c2985739e2ca","2-1",1,57687,47505,10182,145,0.666666666666667,880,35,"smartphone",0,"college",1,"English",0,0,"Y",8.337,183.138616987686
"001d6664-0e5d-401b-bfd9-c2985739e2ca","1-2",1,97241,40176,57065,383,1,880,35,"smartphone",0,"college",1,"English",0,0,"Y",10.485,571.983273596177
"001d6664-0e5d-401b-bfd9-c2985739e2ca","3-1",1,38521,25074,13447,106,1,880,35,"smartphone",0,"college",1,"English",0,0,"Y",11.081,253.649198372816
"001d6664-0e5d-401b-bfd9-c2985739e2ca","2-2",0,51351,46107,5244,166,1,880,35,"smartphone",0,"college",1,"English",0,0,"Y",7.638,216.019259548442
"001d6664-0e5d-401b-bfd9-c2985739e2ca","3-2",0,40730,14319,26411,120,1,880,35,"smartphone",0,"college",1,"English",0,0,"Y",10.697,502.828409805154
"0023cb4d-a3f6-4163-8761-a07914b40754","2-2",0,38015,32047,5968,166,1,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",7.638,310.793522014541
"0023cb4d-a3f6-4163-8761-a07914b40754","3-1",1,14199,9975,4224,106,1,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",11.081,637.593984962406
"0023cb4d-a3f6-4163-8761-a07914b40754","3-2",0,23792,21138,2654,120,0.666666666666667,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",10.697,340.618790803293
"0023cb4d-a3f6-4163-8761-a07914b40754","1-2",0,46747,38488,8259,383,0.666666666666667,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",10.485,597.069216379131
"0023cb4d-a3f6-4163-8761-a07914b40754","1-1",1,43543,33762,9781,324,0.666666666666667,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",9.6,575.795272791896
"0023cb4d-a3f6-4163-8761-a07914b40754","2-1",1,20896,18808,2088,145,0.666666666666667,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",8.337,462.569119523607
"0111fc3b-685f-4756-9692-67ace3297314","3-1",1,33061,30976,2085,106,0.666666666666667,1438,19,"desktop",0,"college",0,"English",0,0,"Y",11.081,205.320247933884
"0111fc3b-685f-4756-9692-67ace3297314","2-1",0,39929,38421,1508,145,1,1438,19,"desktop",0,"college",0,"English",0,0,"Y",8.337,226.438666354337
