"subject","subjectname","group","formerSubject","conditionrank","modality","modalityname","repetition","question","trial","datasetname","readingTime","error","duration","perceivedDifficulty","perceivedTime"
4,"s4",4,"no",1,4,"virtual-mouse",1,1,1,"army",26,0,44.5686,2,42
4,"s4",4,"no",1,4,"virtual-mouse",1,2,2,"army",10,0,120.6228,4,81
4,"s4",4,"no",1,4,"virtual-mouse",1,3,3,"army",2,0,99.4174,3,95
4,"s4",4,"no",1,4,"virtual-mouse",1,4,4,"army",19,0,53.7313,3,66
4,"s4",4,"no",1,4,"virtual-mouse",2,1,5,"externaldebt",12,1,62.6189,3,59
4,"s4",4,"no",1,4,"virtual-mouse",2,2,6,"externaldebt",20,0,59.1863,2,48
4,"s4",4,"no",1,4,"virtual-mouse",2,3,7,"externaldebt",3,0,81.9819,3,62
4,"s4",4,"no",1,4,"virtual-mouse",2,4,8,"externaldebt",4,0,57.6597,4,58
4,"s4",4,"no",2,1,"physical-touch",1,1,9,"health",123,0,70.1668,4,58
4,"s4",4,"no",2,1,"physical-touch",1,2,10,"health",1,0,121.6659,4,95
4,"s4",4,"no",2,1,"physical-touch",1,3,11,"health",5,0,49.1339,3,44
4,"s4",4,"no",2,1,"physical-touch",1,4,12,"health",4,0,42.4351,2,42
4,"s4",4,"no",2,1,"physical-touch",2,1,13,"military",63,0,55.1604,2,43
4,"s4",4,"no",2,1,"physical-touch",2,2,14,"military",3,0,30.258,2,31
4,"s4",4,"no",2,1,"physical-touch",2,3,15,"military",1,0,25.3934,2,29
4,"s4",4,"no",2,1,"physical-touch",2,4,16,"military",0,0,40.2764,2,43
4,"s4",4,"no",3,3,"virtual-prop",1,1,17,"grosscapital",28,0,72.5809,3,53
4,"s4",4,"no",3,3,"virtual-prop",1,2,18,"grosscapital",2,0,62.7614,3,45
4,"s4",4,"no",3,3,"virtual-prop",1,3,19,"grosscapital",3,0,60.2104,2,42
4,"s4",4,"no",3,3,"virtual-prop",1,4,20,"grosscapital",1,0,56.1526,2,34
4,"s4",4,"no",3,3,"virtual-prop",2,1,21,"education",22,1,78.7131,4,47
4,"s4",4,"no",3,3,"virtual-prop",2,2,22,"education",7,0,65.296,3,49
